city,frequency,latitude,longitude
"Lake Forest, IL",1,42.2586342,-87.840625
"Pittsburg, CA",1,38.0181745,-121.8901232
"Elko, NV",1,41.1958128,-115.3272864
"Petaluma, CA",1,38.2325829,-122.636465
"El Dorado Hills, CA",1,38.67950505,-121.0593657
"San Franciso, CA",1,-20.2994074,-40.3064432
"Port Washington, NY",1,40.8254914,-73.68128201
"Chelsea, MI",1,42.3180163,-84.020224
"Newark, DE",1,39.6775927,-75.7630866
"Bear, DE",1,39.6185861,-75.67955394
"Westfield, NJ",1,40.65286,-74.35026487
"Mount Laurel, NJ",1,39.934002,-74.8909988
"Bethesda, MD",1,38.98127255,-77.12335871
"Annapolis, MD",1,38.9786401,-76.492786
"Milford, DE",1,38.9130453,-75.4278733
"Ponte Vedra Beach, FL",1,30.2396865,-81.3856384
"Stewartsville, NJ",1,40.6937105,-75.1110074
"West Pittston, PA",1,41.3279106,-75.8007112
"Lexington, KY",1,38.0464066,-84.4970393
"Columbia, MO",1,38.951883,-92.3337366
"Bluffton, SC",1,32.2084605,-80.9408403
"Stroudsburg, PA",1,40.9864261,-75.1946649
"Saint Louis, MO",1,38.6264256,-90.1995853
"Maryville, IL",1,38.724575,-89.98839965
"Ridgefield, CT",1,41.2814842,-73.4981792
"Philadelphia, PA",1,39.9527237,-75.1635262
"Union City, NJ",1,40.7795455,-74.0237512
"Edwards, CO",1,44.3223555,-75.25193659
"Gilbert, AZ",1,33.3527632,-111.7890373
"Mountain House, CA",1,37.7832614,-121.542726
"Suwanee, GA",1,34.0514898,-84.0712997
"Newburgh, IN",1,37.9456824,-87.4046571
"Summamish, WA",1,0,0
"Sneads Ferry, NC",1,34.5575965,-77.38005045
"Highlands Ranch, CO",1,39.5497243,-104.9695655
"Tuckahoe, NY",1,40.9503764,-73.827356
"Tahoe City, CA",1,39.1689372,-120.143478
"Atherton, CA",1,37.453773,-122.2058272
"Irving, TX",1,32.8295183,-96.9442177
"Newbury Park, CA",1,34.183671,-118.91183
"Winston Salem, NC",1,36.0998131,-80.2440518
"Amherst, NC",1,35.7990193,-81.5962066
"Mocksville, NC",1,35.8940236,-80.5617846
"Bessemer City, NC",1,35.284733,-81.283906
"Clemmons, NC",1,36.0215258,-80.3819984
"Mooresville, NC",1,35.5848596,-80.8100724
"Fallbrook, CA",1,33.3764196,-117.2511466
"Niwot, CO",1,40.1016754,-105.1534902
"Shoreline, WA",1,47.7564667,-122.3437497
"Mercer Island, WA",1,47.5602073,-122.2201423
"Maynard, MA",1,42.7738826,-91.8806147
"Winchester, MA",1,51.0612766,-1.3131692
"Malden, MA",1,42.4250964,-71.066163
"Newport Beach, CA",1,33.6170092,-117.9294401
"Mukilteo, WA",1,47.9474034,-122.3036992
"Royal Oak, MI",1,42.4894801,-83.1446485
"Bellflower, CA",1,33.8825705,-118.1167679
"Anaheim, CA",1,33.8347516,-117.911732
"Freeport, TX",1,28.9541368,-95.3596617
"Stanford, CA",1,37.4265407,-122.1702926
"Fairview, OR",1,45.5385457,-122.4330512
"Palmetto, FL",1,27.5214269,-82.5723193
"Toluca Lake, CA",1,34.1521688,-118.3571417
"Northridge, CA",1,34.2345615,-118.5369316
"Dedham, MA",1,42.2489143,-71.1755732
"North Reading, MA",1,42.5750939,-71.0786653
"Medford, MA",1,42.4184296,-71.1061639
"South Orange, NJ",1,40.7474966,-74.2635376
"Esconidido, CA",1,0,0
"Altadena, CA",1,34.1863161,-118.1352329
"Jamaica Plain, MA",1,42.3116046,-71.1143838
"Corte Madera, CA",1,37.9254806,-122.527475
"Jacksonville, FL",1,30.3321838,-81.655651
"Ashland, MA",1,46.2062319,-90.6802594
"Albuquerque, NM",1,35.0841034,-106.650985
"Falls Church, VA",1,38.882334,-77.1710914
"Reston, VA",1,38.955696,-77.34188284
"Herndon, VA",1,38.9695316,-77.3859479
"Ashburn, VA",1,39.0300191,-77.46964647
"Akron, OH",1,41.083064,-81.518485
"Scotts Valley, CA",1,37.0510595,-122.014684
"Bentonville, AR",1,36.3728538,-94.2088172
"Jacksonville, OR",1,42.314411,-122.965346
"Brentwood, CA",1,37.9317766,-121.696026
"Walnut, CA",1,34.0202894,-117.8653386
"LaGrange, IL",1,48.8518729,2.348028
"Toledo, OH",1,41.6529143,-83.5378173
"Renton, WA",1,47.4799078,-122.2034496
"St. Charles, IL",1,41.9139808,-88.3128183
"Sacramento, CA",1,38.5810606,-121.493895
"Colorado Springs, CO",1,38.8339578,-104.825348
"Salt Lake City, UT",1,40.7596198,-111.8867975
"Inver Grove, MN",1,44.8479039,-93.0428119
"Olney, MD",1,39.14698725,-77.07222272
"Castle Rock, CO",1,39.3722552,-104.8586826
"Aurora, CO",1,41.7571701,-88.3147539
"Greenwood, IN",1,39.6136578,-86.1066526
"Medfield, MA",1,42.1865609,-71.30546
"Kent, WA",1,47.3826903,-122.2270272
"Kirkwood, MO",1,38.5800713,-90.4069177
"Katy, TX",1,29.7857853,-95.8243956
"Ithaca, NY",1,42.437072,-76.54831459
"Simi Valley, CA",1,34.2677404,-118.7538071
"Harrisburg, NC",1,35.3258295,-80.6454979
"Roseville, CA",1,38.7521235,-121.2880059
"Bellingham, WA",1,48.7544012,-122.478836
"Federal Way, WA",1,47.313494,-122.3393103
"Kansas City, MO",1,39.100105,-94.5781416
"Vacaville, CA",1,38.3565773,-121.9877444
"Eldersburg, MD",1,39.4137459,-76.9474188
"Poolesville, MD",1,39.1459732,-77.4118674
"Germantown, MD",1,39.1711725,-77.26559882
"Chambersburg, PA",1,39.9405903,-77.6598624
"Sykesville, MD",1,39.365992,-76.9688737
"Fairfax, VA",1,38.8462236,-77.3063733
"Clarksburg, MD",1,39.2195565,-77.26784133
"Urbandale, IA",1,41.6274511,-93.7380243
"El Granada, CA",1,37.513127,-122.4673158
"Chapel Hill, NC",1,35.9131542,-79.05578
"Vashon, WA",1,47.42087595,-122.4737053
"Pinehurst, NC",1,35.1946235,-79.4679317
"Swansea, IL",1,38.5339392,-89.9889936
"Maple Plain, MN",1,45.0071851,-93.6557945
"Harrisburg, PA",1,40.2663107,-76.8861122
"High Ridge, MO",1,38.4589432,-90.5365126
"Santa Rosa, CA",1,38.4404925,-122.7141049
"Tampa, FL",1,27.9477595,-82.458444
"Lakeland, FL",1,28.0394654,-81.9498042
"Silver Spring, MD",1,38.9997621,-77.0240371
"O'Fallon, MO",1,38.7910374,-90.7039107
"Arlington, VA",1,38.8903961,-77.0841585
"Saint Augustine, FL",1,29.8946952,-81.3145395
"Reno, NV",1,39.5261206,-119.8126581
"St. Rafael, CA",1,37.9758738,-122.5477457
"San Marcos, CA",1,33.1433723,-117.1661449
"Queen Creek, AZ",1,33.2483858,-111.634158
"Thornton, CO",1,39.8695516,-104.985181
"Champlin, MN",1,45.1888539,-93.3974538
"Delavan, IL",1,40.3725415,-89.5473245
"Pekin, IL",1,40.5721875,-89.62302965
"Litchfield Park, AZ",1,33.4933796,-112.3581244
"Sandy Springs, GA",1,33.9242688,-84.3785379
"Newman Lake, WA",1,47.7241586,-117.0689244
"San Leandro, CA",1,37.7249296,-122.1560768
"Salinas, CA",1,36.6744117,-121.6550372
"Jackson, WY",1,43.479965,-110.761815
"Park City, UT",1,40.6460921,-111.4979963
"Great Falls, VA",1,39.0115359,-77.2804828
"Aspen, CO",1,39.1911128,-106.8235606
"West St. Paul, MN",1,44.9101545,-93.0802073
"Cockeysville, MD",1,39.4837588,-76.62351052
"Prior Lake, MN",1,44.7133271,-93.4226873
"Apple Valley, MN",1,44.7319094,-93.21772
"Truckee, CA",1,39.327962,-120.1832533
"Atlanta, CA",1,45.1513902,-64.5040943
"Belmar, NJ",1,40.1784471,-74.0218037
"Chesterfield, VA",1,36.8437589,-76.2599395
