city,frequency,latitude,longitude
"San Francisco, CA",3128,37.7790262,-122.419906
"Tiburon, CA",11,37.8844389,-122.454565
"Pleasant Hill, IA",7,41.5964843,-93.5148963
"Waxhaw, NC",7,34.9248125,-80.7440174
"Mint Hill, NC",6,35.1735388,-80.6570377
"Charlotte, NC",43,35.2272086,-80.8430827
"O'Fallon, MO",25,38.7910374,-90.7039107
"Fountain Hills, AZ",9,33.6117105,-111.7173613
"Matthews, NC",11,35.1159532,-80.7224386
"Irvine, CA",17,33.6856969,-117.8259819
"San Jose, CA",153,37.3361905,-121.890583
"Fremont, CA",149,37.5482697,-121.988571
"College Park, MD",1,38.99203005,-76.9461029
"Sunnyvale, CA",167,37.3688301,-122.036349
"Chanhassen, MN",2,44.8618403,-93.5307207
"New Richmond, WI",1,45.1230213,-92.5365865
"St. Paul, MN",2,44.9497487,-93.0931028
"Brush Prairie, WA",1,45.732839,-122.5433169
"Brooklyn Park, MN",2,45.1004807,-93.3443585
"Big Lake, MN",1,45.3324647,-93.7460804
"New York, NY",55,40.7127281,-74.0060152
"Brookline, MA",1,42.3317642,-71.1211635
"Cambridge, MA",15,52.2055314,0.1186637
"San Mateo, CA",153,37.496904,-122.3330573
"North Andover, MA",2,42.6839894,-71.1127065
"Dublin, CA",36,37.7021521,-121.9357918
"St. Louis, MO",7,38.6264256,-90.1995853
"Walnut Creek, CA",41,37.9020731,-122.0618702
"Albany, CA",6,37.88687,-122.2977475
"Pleasanton, CA",62,37.6624312,-121.8746789
"Danville, CA",21,37.8215929,-121.99996
"Arlington, VA",1,38.8903961,-77.0841585
"Salinas, CA",3,36.6744117,-121.6550372
"Hillsborough, CA",11,37.557252,-122.3625291
"Concord, CA",21,37.9768525,-122.0335624
"South San Francisco, CA",22,37.6535403,-122.4168664
"Brooklyn, NY",62,40.6526006,-73.9497211
"Seattle, WA",79,47.6038321,-122.3300624
"Marietta, GA",7,33.9528472,-84.5496148
"State Road, NC",7,36.3259668,-80.8675723
"Los Altos, CA",54,37.3790629,-122.116578
"Palo Alto, CA",134,37.4443293,-122.1598465
"Half Moon Bay, CA",12,37.4635519,-122.428586
"Foster City, CA",157,37.5600336,-122.2688522
"Richmond, CA",8,37.9357576,-122.347748
"Portola Valley, CA",6,37.3736298,-122.219047
"Oakland, CA",176,37.8044557,-122.2713563
"Berkeley, CA",114,37.8753497,-122.2396336
"Livermore, CA",30,37.6820583,-121.7680531
"Okemos, MI",1,42.714558,-84.41275312
"Santa Monica, CA",8,34.0194704,-118.4912273
"Santa Clara, CA",54,37.2333253,-121.6846349
"Champaign, IL",9,40.1164841,-88.2430932
"Alameda, CA",32,37.6090291,-121.899142
"Union City, CA",21,37.5963232,-122.0816297
"Greenbrae, CA",6,37.9485356,-122.5247031
"Fords, NJ",30,40.5411231,-74.31652441
"Los Angeles, CA",24,34.0536909,-118.242766
"San Carlos, CA",33,37.504936,-122.261823
"Lake Forest Park, WA",2,47.7567679,-122.2809623
"Snoqualmie, WA",1,47.5289527,-121.8270932
"Bellevue, CA",1,46.0914472,-62.7427354
"Boulder, CO",10,40.0149856,-105.270545
"Hillsboro, OR",1,45.5228939,-122.989827
"Burlington, MA",4,44.4761601,-73.212906
"Castro Valley, CA",15,37.71573685,-122.0906318
"Louisville, CO",4,38.2542376,-85.759407
"Furlong, PA",1,40.2962179,-75.082115
"Lumberton, NJ",1,39.9659459,-74.8051628
"Worthington, OH",1,40.0930945,-83.0179593
"Raleigh, NC",28,35.7803977,-78.6390989
"Milpitas, CA",12,37.4332273,-121.8989248
"Mountain View, CA",108,37.3893889,-122.0832101
"Lafayette, CA",21,37.8857582,-122.1180201
"San Ramon, CA",62,37.7648021,-121.9544387
"Durham, NC",5,35.996653,-78.9018053
"Portland, OR",18,45.5202471,-122.6741949
"Cupertino, CA",36,37.3228934,-122.0322895
"Burlingame, CA",68,37.5780965,-122.3473099
"Kirkland, WA",15,47.6859573,-122.1920249
"Nashua, NH",2,42.7656251,-71.4677032
"Redwood City, CA",60,37.4863239,-122.232523
"Kent, WA",2,47.3826903,-122.2270272
"Perris, CA",1,33.7825194,-117.2286478
"Washington, DC",7,38.8950368,-77.0365427
"Chicago, IL",5,41.8755616,-87.6244212
"Austin, TX",76,30.2711286,-97.7436995
"Emeryville, CA",16,37.8314089,-122.2865266
"Pittsford, NY",1,43.090959,-77.515298
"El Cerrito, CA",12,33.8410146,-117.5207978
"Los Altos Hills, CA",2,37.3796627,-122.137463
"Los Gatos, CA",14,37.226611,-121.9746797
"Menlo Park, CA",92,37.4519671,-122.1779927
"Jacksonville, OR",2,42.314411,-122.965346
"Inver Grove Heights, MN",1,44.8479039,-93.0428119
"Maple Grove, MN",4,45.0984983,-93.4419222
"Newcastle, WA",6,47.5395736,-122.1563331
"Bellevue, WA",31,47.6144219,-122.192337
"Cape Coral, FL",2,26.6059432,-81.9806771
"Hayward, CA",17,37.6688205,-122.080796
"Colorado Springs, CO",5,0,0
"Cedar Park, TX",6,30.5217116,-97.827833
"Westminster, CO",4,39.8366528,-105.0372046
"Moraga, CA",13,37.834897,-122.12883
"Roseville, CA",3,38.7521235,-121.2880059
"Piedmont, CA",13,37.8243715,-122.231635
"Fairfax, CA",2,37.9872935,-122.587967
"Saratoga, CA",13,37.2638324,-122.0230146
"Miami Lakes, FL",1,25.91162125,-80.3212748
"Rancho Palos Verdes, CA",1,33.7483311,-118.3707683
"Crofton, MD",2,39.01595465,-76.68420565
"Weston, FL",1,26.1003392,-80.399513
"Parkland, FL",2,26.32540565,-80.27393647
"Lighthouse Point, FL",2,26.275636,-80.0872654
"Boca Raton, FL",1,26.3586885,-80.0830984
"Pacifica, CA",23,37.6138253,-122.4869194
"Millbrae, CA",16,37.598958,-122.4009419
"Tahoe City, CA",6,39.1689372,-120.143478
"Gilbert, CA",2,40.551789,-122.246267
"Manhasset, NY",1,40.7956894,-73.6989103
"Chuluota, FL",1,28.6383385,-81.1153521
"Urbana, IL",5,40.1117174,-88.207301
"Orinda, CA",18,37.8771476,-122.1796888
"Scottsdale, AZ",5,33.4942189,-111.9260184
"Phoenix, AZ",8,33.4484367,-112.074141
"Glendale, AZ",1,33.5386858,-112.1859941
"Morrison, CO",1,42.3420595,-92.6747299
"Knoxville, TN",3,35.9603948,-83.9210261
"Lakeway, TX",2,30.3644888,-97.9875325
"Fairfax, VA",3,38.8462236,-77.3063733
"Pittsburgh, PA",49,40.4416941,-79.9900861
"Mill Valley, CA",12,37.9060368,-122.5449763
"Tinley Park, IL",4,41.5733669,-87.7844944
"Mount Prospect, IL",1,42.0664167,-87.9372908
"Coconut Creek, FL",1,26.2714628,-80.18181397
"Layton, UT",2,41.0751048,-111.9741925
"Saratoga Springs, UT",1,40.3491173,-111.904656
"Champlin, MN",5,45.1888539,-93.3974538
"Richardson, TX",2,32.9481789,-96.7297206
"San Bruno, CA",25,37.6261715,-122.4332435
"North Pole, AK",1,64.750997,-147.349319
"Wolcott, CO",1,43.220622,-76.814958
"Gastonia, NC",1,35.2622654,-81.1838186
"Cave Creek, AZ",2,33.8333333,-111.9508333
"Lexington, NC",1,35.8240265,-80.2533838
"Huntersville, NC",6,35.4108278,-80.8429304
"Vacaville, CA",3,38.3565773,-121.9877444
"Belmont, CA",27,37.5164926,-122.2941914
"Pleasant Hill, CA",18,37.9479786,-122.0607963
"Ithaca, NY",2,42.437072,-76.54831459
"Lake Stevens, WA",1,48.0197794,-122.0660914
"Sammamish, WA",11,47.6088445,-122.0423067
"Daly City, CA",21,37.6904826,-122.47267
"Round Rock, TX",8,30.5085915,-97.6788056
"North Hollywood, CA",2,34.1729044,-118.3740371
"Denver, CO",19,39.7392364,-104.9848623
"Tallahassee, FL",1,30.4380832,-84.2809332
"St. Augustine, FL",1,29.8946952,-81.3145395
"Northbrook, IL",1,42.128704,-87.8265089
"Concord, GA",1,32.1401594,-84.3813028
"Francisco, CA",3,41.3399267,-6.9629884
"Chaska, CA",1,49.7164297,-99.2805292
"San Diego, CA",31,32.7174202,-117.1627728
"El Granada, CA",3,37.513127,-122.4673158
"San Fancisco, CA",1,-20.3427185,-40.3095373
"Camas, WA",1,45.5911103,-122.4122248
"Davis, CA",6,38.545379,-121.744583
"Brownsburg, IN",4,39.8433769,-86.3977736
"Santa Ana, CA",2,33.7494951,-117.8732213
"New Westminster, CA",1,49.2067726,-122.9108818
"Chandler, AZ",2,33.3061605,-111.84125
"Ofallon, MO",1,38.7292614,-90.6823725
"St. Charles, MO",2,38.7877791,-90.6747372
"Petersham, MA",1,42.4865962,-72.1893057
"South Riding, VA",2,38.918018,-77.517342
"Pittsburg, PA",1,40.4416941,-79.9900861
"Atherton, CA",3,37.453773,-122.2058272
"Mercer Island, WA",2,47.5602073,-122.2201423
"Corte Madera, CA",4,37.9254806,-122.527475
"Ross, CA",9,37.9624239,-122.554977
"San Rafael, CA",15,37.9735346,-122.5310874
"Brentwood, CA",8,37.9317766,-121.696026
"Medford, MA",2,42.4184296,-71.1061639
"Princeton, NJ",2,40.34833555,-74.66842306
"Arlington, MA",2,32.701939,-97.10562379
"Plano, TX",3,33.0136764,-96.6925096
"Atlanta, GA",4,33.7489924,-84.3902644
"Muscatine, IA",1,41.4776121,-91.1210053
"Lakewood, CO",1,39.7085736,-105.0846694
"Erie, CO",2,42.1294712,-80.0852695
"Monroe, NC",10,34.9854275,-80.5495112
"Bloomington, IL",2,40.4797828,-88.9939147
"Gallatin Gateway, MT",1,45.5916111,-111.197416
"Tempe, AZ",2,33.4255056,-111.9400091
"Woodside, CA",16,37.4299388,-122.253855
"Mars, PA",3,45.022172,4.3221548
"Evergreen, CO",1,31.44953845,-86.9567514
"San Francsico, CA",2,0,0
"Stanford, CA",3,37.4265407,-122.1702926
"Renton, WA",4,47.4799078,-122.2034496
"Benicia, CA",8,38.049365,-122.1585777
"Thousand Oaks, CA",1,34.1705609,-118.8375937
"Camarillo, CA",1,34.2176371,-119.0383541
"Tarzana, CA",1,34.1689295,-118.536567
"Santa Rosa, CA",1,38.4404925,-122.7141049
"Sacramento, CA",1,38.5810606,-121.493895
"Sunnyside, NY",2,40.7398242,-73.9354153
"Novato, CA",19,38.1061979,-122.5681191
"Wake, NC",1,35.5877538,-82.5538262
"Cary, NC",3,35.7882893,-78.7812081
"Deer Creek, IL",1,40.6298648,-89.3323928
"Tremont, IL",15,40.5275392,-89.4925979
"Mars Hill, NC",1,35.82685585,-82.55057687
"Marvin, NC",2,34.999287,-80.82109986
"Redwood, CA",3,49.674316,-112.7861791
"Indianapolis, IN",11,39.7683331,-86.1583502
"Carmel, IN",7,39.9788017,-86.1189257
"Columbus, IN",1,39.2014405,-85.9213796
"Fishers, IN",2,39.9555928,-86.0138729
"Park City, UT",2,40.6460921,-111.4979963
"Waitsfield, VT",1,44.192132,-72.8227076
"Mammoth Lakes, CA",2,37.6432525,-118.9668509
"Norwalk, IA",1,41.4755492,-93.6788876
"Rock Hill, SC",3,34.9248667,-81.0250784
"Bolivia, NC",1,34.0676715,-78.1483283
"Goleta, CA",1,34.4358295,-119.8276389
"Napa, CA",1,38.2971367,-122.2855293
"Mountain House, CA",1,37.7832614,-121.542726
"Clayton, CA",1,37.9410341,-121.9357925
"Boston, MA",6,42.3602534,-71.0582912
"Suwanee, GA",1,34.0514898,-84.0712997
"San Leandro, CA",4,37.7249296,-122.1560768
"Kensington, CA",4,46.4360505,-63.6378732
"Healdsburg, CA",5,38.5904785,-122.8650295
"Bethesda, MD",2,38.98127255,-77.12335871
"Potomac, MD",1,39.0180508,-77.19563314
"Ashburn, VA",2,39.0300191,-77.46964647
"Fallbrook, CA",2,33.3764196,-117.2511466
"Bay Shore, NY",3,40.727025,-73.2521842
"Issaquah, WA",11,47.5348778,-122.0432974
"Clive, IA",1,41.6096559,-93.7754644
"Waukee, IA",2,41.6118485,-93.8845129
"Alexandria, VA",1,38.8051095,-77.0470229
"Newark, CA",7,37.5296593,-122.0402399
"Benecia, CA",1,33.9588866,-117.4291151
"Antioch, CA",1,38.0049214,-121.805789
"Campbell, CA",12,37.2870626,-121.9448818
"West, TX",1,31.8034812,-97.0933471
"Morton, IL",1,40.6127349,-89.459323
"Eureka, IL",1,40.7213015,-89.2726708
"Woodinville, WA",4,47.7545827,-122.1588902
"Bothell, WA",4,47.7598697,-122.2068288
"Redmond, WA",7,47.6694141,-122.1238767
"San Marcos, CA",5,33.1433723,-117.1661449
"Milwaukee, WI",1,43.0349931,-87.922497
"Arrington, TN",1,35.8676656,-86.7096095
"Grover, MO",1,38.5760224,-90.6374834
"Duluth, MN",1,46.7729322,-92.1251218
"Davidson, NC",2,35.4992614,-80.8485218
"Mount Holly, NC",3,35.2976298,-81.0161686
"Gilbert, AZ",3,33.3527632,-111.7890373
"Golden Valley, MN",1,44.9861176,-93.3784618
